id,intitule,dateCreation,departement,commune,ville,latitude,longitude,entreprise,typeContrat,typeContratLibelle,experienceLibelle,experienceExige,qualificationLibelle,romeCode,romeLibelle,secteurActiviteLibelle,salaire_libelle,competences_structurees,competences_detectees,nb_competences_detectees,sal_periode,sal_min,sal_max,sal_annuel_min,sal_annuel_max,sal_annuel_moyen
210LGWN,Data engineer (BI) - H/F/X (H/F),2026-06-29 11:01:04.587000+00:00,93,93066,93 - ST DENIS,48.941389,2.382632,VENTE PRIVEE.COM,CDI,CDI,4 An(s),E,Cadre,M1811,Data engineer,Vente à distance sur catalogue général,,"Analyser, exploiter, structurer des données",Python | SQL | Airflow | dbt | GCP | BigQuery | Power BI | Tableau | Git,9,,,,,,
210CLSC,Business Data & BI Analyst H/F (H/F),2026-06-22 12:21:20.958000+00:00,92,92026,92 - COURBEVOIE,48.898112,2.238533,,CDI,CDI,1 An(s),E,Cadre,M1806,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,Autre distribution de crédit,,Concevoir et gérer un projet,SQL,1,,,,,,
209ZRFX,Data Analyst / BI Analyst - Power BI (H/F),2026-06-19 10:40:30.485000+00:00,75,75110,75 - Paris 10e Arrondissement,48.871795,2.357832,BRAIN LOGIC,CDI,CDI,3 An(s),E,Cadre,M1419,Data analyst,Conseil en systèmes et logiciels informatiques,,Adapter les outils de traitement statistique de données | Communiquer les résultats des études aux parties prenantes | Data fabric ou équivalent | Methodologie Agile / Safe | Power BI | SQL,SQL | Power BI | DAX | Power Query | Data Visualization,5,,,,,,
209XGKZ,Conducteur pl bi température (H/F),2026-06-17 14:03:21.101000+00:00,91,91086,91 - Bondoufle,48.613238,2.380131,ERGALIS EVRY 3203,MIS,Intérim - 4 Mois,1 An(s),E,"Ouvrier qualifié (P1,P2)",N4101,Conducteur / Conductrice de poids lourd,Activités des agences de travail temporaire,Horaire de 12.31 Euros à 13.0 Euros sur 12 mois,Contrôler l'état de fonctionnement du véhicule | Vérifier l'exactitude et la conformité de documents de transport de marchandises,,0,Horaire,12.31,13.0,22404.0,23660.0,23032.0
209MSFG,Consultant BI (H/F),2026-06-09 15:32:47.184000+00:00,92,92026,92 - COURBEVOIE,48.901819,2.267542,EXPERTEAM,CDI,CDI,5 An(s),E,Cadre,M1872,Consultant décisionnel / Consultante décisionnelle - Business Intelligence,Conseil en systèmes et logiciels informatiques,,Développer des scripts pour l'automatisation des rapports | Elaborer des solutions techniques et fonctionnelles | Faciliter la collaboration interdépartementale sur les projets BI | Gérer la sécurité des données dans les projets BI | Intégrer les bases de données avec d'autres systèmes d'information,SQL | ETL | Talend | Azure | Power BI | SSIS/SSAS/SSRS,6,,,,,,
210JKNL,Analyste décisionnel - Business Intelligence (H/F),2026-06-25 18:18:33.085000+00:00,93,93045,93 - LES LILAS,48.879365,2.415862,AUBER TECH,CDI,CDI,Débutant accepté,D,Cadre,M1851,Analyste décisionnel - Business Intelligence,Conseil en systèmes et logiciels informatiques,Mensuel de 2500.0 Euros à 3500.0 Euros sur 12.0 mois,Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle,SQL,1,Mensuel,2500.0,3500.0,30000.0,42000.0,36000.0
209VKJG,"Manager Expertise Comptable H/F - Data, IA & Transformation (H/F)",2026-06-16 10:59:50.482000+00:00,75,,75 - Paris (Dept.),,,NFZI,CDI,CDI,3 An(s),E,Cadre,M1426,Chief digital officer - Responsable de la transformation digitale,Conseil pour les affaires et autres conseils de gestion,Annuel de 50000.0 Euros à 55000.0 Euros sur 12 mois,Big data Analytics | Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle | Développer des stratégies pour améliorer l'expérience utilisateur | Faciliter la migration des systèmes vers de nouvelles plateformes | Optimiser les coûts des technologies de l'information | Optimiser l'expérience utilisateur sur les plateformes digitales | Promouvoir l'innovation au sein de l'entreprise | Proposer des améliorations pour optimiser les processus | Réaliser des études d'organisation et d'évolution de systèmes d'information | Se tenir informé des évolutions technologiques et des nouvelles tendances dans son domaine d'activité | Superviser le déploiement de nouvelles applications | logiciels comptables | outils digitaux,,0,Annuel,50000.0,55000.0,50000.0,55000.0,52500.0
209RFGH,Data analyst - Retail   (H/F),2026-06-12 10:08:17.930000+00:00,75,,75 - Paris (Dept.),,,THOM,CDI,CDI,3 An(s),E,Agent de maîtrise,M1851,Analyste décisionnel - Business Intelligence,Gestion de fonds,,Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle,Power BI | Data Visualization,2,,,,,,
209LSFP,Solution Consultant (H/F),2026-06-09 06:14:34.398000+00:00,92,92062,92 - PUTEAUX,48.884019,2.237979,AKILA INFORMATION SYSTEMS,CDI,CDI,Débutant accepté,D,Technicien,I1314,Monteur installateur / Monteuse installatrice d'équipements connectés,Programmation informatique,Mensuel de 3333.0 Euros à 3417.0 Euros sur 12.0 mois,Installer l'équipement sur le site et le connecter aux réseaux extérieurs | GTB | Power BI | IoT,Power BI,1,Mensuel,3333.0,3417.0,39996.0,41004.0,40500.0
209LKPX,"Chargé.e Suivi, Évaluation, Redevabilité et Apprentissage (SERA) (H/F)",2026-06-08 17:08:19.352000+00:00,75,75105,75 - PARIS,48.846127,2.344508,EXPERTISE FRANCE,CDD,CDD - 12 Mois,7 An(s),E,Cadre,M1403,Chargé / Chargée d'études socio-économiques,"Activités spécialisées, scientifiques et techniques diverses",,"Communiquer les résultats des études aux parties prenantes | Améliorer continuellement les méthodes d'analyse | Animer, coordonner une équipe | Assister une structure dans l'interprétation et l'analyse d'une étude | Collaborer avec des équipes multidisciplinaires | Collecter des données statistiques | Communiquer, lire et rédiger des documents techniques, des rapports, des notes en anglais | Concevoir et gérer un projet | Convaincre en argumentant avec un ou plusieurs interlocuteurs | Coordonner le déroulement d'une étude | Développer et gérer des relations ou partenariats | Elaborer des recommandations stratégiques | Etablir des prévisions, des évaluations, des recommandations, des perspectives | Former les équipes aux outils d'analyse économique | Gérer des bases de données | Optimiser des processus de collecte de données | Réaliser une veille documentaire | Rédiger des rapports d'étude détaillés | Respecter les normes éthiques et de confidentialité | Synthétiser et mettre en forme des données pour les présenter lors de réunions stratégiques | Traiter les données d'analyse pour en extraire des tendances | Kobo | Master en Droits humains et Egalité de genre | SPSS | Power BI | Master en Genre & Développement international",Power BI | Tableau,2,,,,,,
209DGKT,Analyste programmeur / décisionnel - business intelligence  (H/F),2026-06-02 21:42:59.481000+00:00,92,92049,92 - MONTROUGE,48.818761,2.320528,KODEMADE,CDI,CDI,Débutant accepté,D,Cadre,M1851,Analyste décisionnel - Business Intelligence,"Ingénierie,études techniques",,Business Intelligence (BI) - Informatique décisionnelle | Tableau Software | Concevoir et développer les programmes et applicat | Langage informatique SQL | Datastage PX | Datastage Server | Business Object | Rédiger une Spécification Technique de Besoin (STB | Cognos | PowerAMC | PLSQL,SQL | Oracle | SQL Server | Tableau,4,,,,,,
208ZJTH,Analyste Master Data & Gouvernance Industrielle H/F (H/F),2026-06-01 10:50:33.835000+00:00,75,75102,75 - PARIS,,,LA CADETTE,CDI,CDI,2 An(s),E,Cadre,M1851,Analyste décisionnel - Business Intelligence,Activités spécialisées de design,,Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle,SQL | Power BI | Excel | Power Query,4,,,,,,
4235778,Développeur BI (H/F),2026-06-25 11:39:09+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,6 An(s),E,,M1824,Développeur / Développeuse décisionnel - Business Intelligence,,Annuel de 70000.0 Euros,,SQL | Oracle | Power BI | Excel | Power Query,5,Annuel,70000.0,70000.0,70000.0,70000.0,70000.0
4235724,ANALYSTE DATA / BI (H/F) (F/H),2026-06-25 11:38:55+00:00,77,77251,77 - Lieusaint,48.63147,2.551185,,CDI,CDI,Débutant accepté,D,,M1419,Data analyst,,,,,0,,,,,,
4235659,Développeur BI (H/F),2026-06-25 11:38:42+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,LIB,Profession libérale,6 An(s),E,,M1824,Développeur / Développeuse décisionnel - Business Intelligence,,,,SQL | Oracle | Power BI | Excel | Power Query,5,,,,,,
4179753,Administrateur Power BI Report Server / Microsoft Fabric F/H,2026-06-24 14:35:11+00:00,75,75101,75 - Paris 1er Arrondissement,,,CTS Corporate,CDI,CDI,2 An(s),E,Cadre,M1852,Analyste d'étude informatique,"Ingénierie,études techniques",Annuel de 40000.0 Euros à 60000.0 Euros,,SQL | PostgreSQL | SQL Server | Azure | Snowflake | Power BI,6,Annuel,40000.0,60000.0,40000.0,60000.0,50000.0
4177981,CONSULTANT(E) MOA BI EXPERIMENTE(E) (H/F),2026-06-24 11:21:30+00:00,75,75101,75 - Paris 1er Arrondissement,,,,LIB,Profession libérale,9 An(s),E,,D1403,Conseiller commercial / Conseillère commerciale auprès des particuliers,,,,SQL | SQL Server | Azure | Tableau | SSIS/SSAS/SSRS | Data Visualization,6,,,,,,
4177817,Chef de projet AMOA BI expérimenté(e) (H/F),2026-06-24 11:21:30+00:00,92,92050,92 - Nanterre,48.897361,2.195135,,LIB,Profession libérale,9 An(s),E,,M1881,Chef / Cheffe de projet Maîtrise d'Ouvrage des Systèmes d'Information (MOA),,,,SQL | SQL Server | Power BI | Tableau | Data Visualization,5,,,,,,
4171802,Prévisionniste & bi sur les moteurs à forte puissance f/h,2026-06-24 08:15:38+00:00,77,77306,77 - Montereau-sur-le-Jard,48.597229,2.686574,,CDI,CDI,Débutant accepté,D,,I1602,Mécanicien / Mécanicienne avion,,,,,0,,,,,,
4122978,Chargé(e) de Reporting & Administrateur(trice) BI H/F,2026-06-23 05:43:10+00:00,95,95127,95 - Cergy,49.03611,2.06306,SPIE Groupe,CDI,CDI,Débutant accepté,D,,M1206,Responsable comptabilité,Extraction de pétrole brut,Annuel de 41000.0 Euros à 43000.0 Euros,,SQL | Oracle | Excel,3,Annuel,41000.0,43000.0,41000.0,43000.0,42000.0
4054332,Consultant BI (H/F),2026-06-20 12:25:41+00:00,92,,92 - Hauts-de-Seine,,,,CDI,CDI,Débutant accepté,D,,M1872,Consultant décisionnel / Consultante décisionnelle - Business Intelligence,,Annuel de 39000.0 Euros à 90000.0 Euros,,,0,Annuel,39000.0,90000.0,39000.0,90000.0,64500.0
3899409,Consultant technique Cognos BI (H/F),2026-06-17 11:21:29+00:00,92,92050,92 - Nanterre,48.879998,2.207752,,LIB,Profession libérale,9 An(s),E,,I1302,Technicien / Technicienne de maintenance d'installations automatisées,,,,SQL | SQL Server | Tableau | SSIS/SSAS/SSRS,4,,,,,,
3872426,Alternant BAC+4/BAC+5 - Data - Power Bi - Metro Ligne Rouge L15/16/17 H/F,2026-06-17 04:41:52+00:00,93,93048,93 - Montreuil,48.866597,2.477767,,CDD,CDD - 12 Mois,Débutant accepté,D,,M1811,Data engineer,,,,Power BI,1,,,,,,
3759650,"Consultant Senior ou Manager Data Analyst & BI - secteur Financier, H/F",2026-06-15 03:01:50+00:00,75,75056,75 - Paris,,,EY,CDI,CDI,3 An(s),E,,M1405,Data scientist,,,,Python | SQL | Tableau | Data Visualization,4,,,,,,
3734120,INGENIEUR DATA BI EXPERIMENTE (H/F),2026-06-12 12:14:37+00:00,75,75101,75 - Paris 1er Arrondissement,,,,LIB,Profession libérale,5 An(s),E,,D1403,Assistant commercial / Assistante commerciale,,,,Python | SQL | Java | Scala | Elasticsearch | Spark | ETL | Talend | GCP | BigQuery,10,,,,,,
3632851,CADRE DE SANTE DE BLOC OPERATOIRE BI-SITE (H/F),2026-06-10 07:04:37+00:00,78,78551,78 - Saint-Germain-en-Laye,48.899951,2.083865,FHF,CDI,CDI,Expérience exigée,E,,J1502,Cadre de santé d'unité de soins ou de service paramédical,Hôtels et hébergement similaire,,,,0,,,,,,
3617352,"Consultant Expérimenté & Manager en « Data Analyst & BI » - Secteur Financier, H/F",2026-06-10 03:01:48+00:00,75,75056,75 - Paris,,,EY,CDI,CDI,3 An(s),E,,M1405,Data scientist,,,,,0,,,,,,
3548442,Développeur BI (H/F),2026-06-06 10:40:23+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,Débutant accepté,D,,M1824,Développeur / Développeuse décisionnel - Business Intelligence,,,,,0,,,,,,
3535504,Ingénieur BI / SQL - Services Financiers - Paris (H/F),2026-06-06 05:30:57+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,0 An(s),E,Cadre,M1867,Responsable des systèmes d'information (SI),,,,SQL | SQL Server | ETL,3,,,,,,
3516361,Consultant.e Data Analyst Power BI F/H - Valoway,2026-06-05 21:29:44+00:00,75,75119,75 - Paris 19e Arrondissement,48.882941,2.381938,Valoway,CDI,CDI,5 An(s),E,,M1405,Data scientist,Conseil en systèmes et logiciels informatiques,Annuel de 50000.0 Euros à 60000.0 Euros,,Python | SQL | NoSQL | Spark | Databricks | Talend | AWS | Azure | GCP | Snowflake | BigQuery | Power BI | Tableau | Looker,14,Annuel,50000.0,60000.0,50000.0,60000.0,55000.0
3490713,INGENIEUR DATA BI - GENIO (H/F),2026-06-05 11:21:36+00:00,75,75101,75 - Paris 1er Arrondissement,,,,LIB,Profession libérale,5 An(s),E,,M1802,Ingénieur / Ingénieure systèmes et réseaux informatiques,,,,Python | SQL | Java | SQL Server | Elasticsearch | ETL | Talend | GCP | BigQuery | SSIS/SSAS/SSRS,10,,,,,,
3281175,CHAUFFEUR SPL AMPLIROLL BI BENNES H/F,2026-06-02 04:31:30+00:00,93,93001,93 - Aubervilliers,48.914557,2.381792,CONNECTT PARIS,MIS,Intérim - 3 Mois,Expérience exigée,E,Employé qualifié,N4101,Conducteur / Conductrice de poids lourd,Activités des agences de travail temporaire,,,,0,,,,,,
3281016,CHAUFFEUR SPL AMPLIROLL BI BENNES H/F,2026-06-02 04:31:28+00:00,91,91432,91 - Morangis,48.705517,2.332369,CONNECTT PARIS,CDI,CDI,Débutant accepté,D,Employé qualifié,N4101,Conducteur / Conductrice de poids lourd,,Horaire de 12.5 Euros à 13.0 Euros,,,0,Horaire,12.5,13.0,22750.0,23660.0,23205.0
209TZLC,Superviseur Business Intelligence & IA F/H (H/F),2026-06-16 08:36:20.865000+00:00,92,92026,92 - Courbevoie,48.898112,2.238533,RYDGE CONSEIL,CDI,CDI,5 An(s),E,Employé qualifié,M1889,Ingénieur / Ingénieure en Intelligence Artificielle (IA),Activités comptables,Annuel de 45000.0 Euros à 55000.0 Euros sur 12 mois,Développer des modèles prédictifs pour l'analyse de données | Documenter les processus et les architectures d'IA | Optimiser les performances des systèmes d'IA,Azure | Power BI | DAX | Machine Learning | Git | Power Query,6,Annuel,45000.0,55000.0,45000.0,55000.0,50000.0
209HBPL,Business developer IA (H/F),2026-06-04 16:33:42.556000+00:00,93,93071,93 - SEVRAN,48.939529,2.525808,O2E CONSULTING,CDD,CDD - 6 Mois,Débutant accepté,D,Employé qualifié,M1824,Développeur / Développeuse décisionnel - Business Intelligence,"Analyses, essais et inspections techniques",Annuel de 35000.0 Euros sur 12 mois,"Rédiger un cahier des charges, des spécifications techniques",,0,Annuel,35000.0,35000.0,35000.0,35000.0,35000.0
209PNDK,Web et CRO Analyst OUIGO  F/H,2026-06-10 18:09:56.571000+00:00,93,,93 - Seine-Saint-Denis,,,SNCF VOYAGEURS,CDI,CDI,3 An(s),E,Employé qualifié,M1851,Analyste décisionnel - Business Intelligence,Transport ferroviaire interurbain de voyageurs,Annuel de 45000.0 Euros à 52000.0 Euros sur 12.0 mois,,Power BI | Excel,2,Annuel,45000.0,52000.0,45000.0,52000.0,48500.0
209SHJG,Charge(e) d'enseignement - Communication Professionnelle (H/F),2026-06-14 20:36:29.628000+00:00,75,75108,75 - PARIS 08,48.877495,2.317589,EMINENCE BUSINESS ECOLE DE PARIS,LIB,Profession libérale,3 An(s),E,Employé qualifié,K2108,Professeur / Professeure des universités,Formation continue d'adultes,,"Techniques de communication orales, écrites et numériques | Concevoir et préparer les cours, les travaux dirigés ou les travaux pratiques | Enseigner, développer des compétences | Cross Cultural Communication | Career Coaching | Intelligence emotionnelle, developpement personnel | Professional Writing | Corporate Training | conseil en carriere | CV Writing, Interview Preparation, and coaching | Soft Skills | Business communication | Presentations Skills",,0,,,,,,
4319968,Développeur / Développeuse décisionnel - Business Intelligence (H/F),2026-06-27 12:49:03+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,3 An(s),E,,M1824,Développeur / Développeuse décisionnel - Business Intelligence,,,,Azure,1,,,,,,
4318850,Développeur / Développeuse décisionnel - Business Intelligence (H/F),2026-06-27 12:38:13+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,LIB,Profession libérale,3 An(s),E,,M1824,Développeur / Développeuse décisionnel - Business Intelligence,,,,Azure,1,,,,,,
4234200,Alternance Data Analyst Business Intelligence & Stratégie Industrielle - Châtillon (H/F),2026-06-25 11:21:28+00:00,92,92020,92 - Châtillon,48.799654,2.289749,ISCOD,CDD,CDD - 12 Mois,1 An(s),E,,M1419,Data analyst,,,,Python | SQL | ETL | Power BI | Excel | Power Query,6,,,,,,
4329705,Consultant en Recrutement - Business Developer Division Technologie IT (F/H) (H/F),2026-06-27 16:58:19+00:00,92,92051,92 - Neuilly-sur-Seine,48.884789,2.269688,,CDI,CDI,Débutant accepté,D,,M1824,Développeur / Développeuse décisionnel - Business Intelligence,,,,,0,,,,,,
4171710,Architecte d'entreprise business f/h,2026-06-24 08:15:38+00:00,92,92060,92 - Plessis-Robinson,48.782195,2.262246,,CDI,CDI,Expérience exigée,E,,M1851,Analyste décisionnel - Business Intelligence,,,,,0,,,,,,
4171698,Business developper commercial défénse aérienne f/h,2026-06-24 08:15:38+00:00,92,92060,92 - Plessis-Robinson,48.782195,2.262246,,CDI,CDI,Expérience exigée,E,,M1851,Analyste décisionnel - Business Intelligence,,,,,0,,,,,,
4159765,Business Analyst EPM / Intégration (Tagetik) - Services Financiers - Ile-De-France (H/F),2026-06-24 02:54:40+00:00,75,75056,75 - Paris,,,,CDI,CDI,Débutant accepté,D,,M1414,Ingénieur statisticien / Ingénieure statisticienne,,,,,0,,,,,,
4073272,Alternance Business Developer Junior. - Montrouge (F/H) (H/F),2026-06-21 05:39:10+00:00,92,92049,92 - Montrouge,48.818761,2.320528,,CDD,CDD - 12 Mois,Débutant accepté,D,,M1824,Développeur / Développeuse décisionnel - Business Intelligence,,,,,0,,,,,,
3740147,ALTERNANCE BUSINESS ANALYSTE - H/F,2026-06-12 12:36:07+00:00,92,92063,92 - Rueil-Malmaison,48.871705,2.202508,MAYOLY,CDD,CDD - 12 Mois,Débutant accepté,D,,M1851,Analyste décisionnel - Business Intelligence,Fabrication de préparations pharmaceutiques,,,Excel,1,,,,,,
3702940,Business analyst CRM Salesforce F/H - Marketing (H/F),2026-06-11 05:51:54+00:00,92,92025,92 - Colombes,48.93201,2.266889,MICHAEL PAGE INTERNATIONAL FRANCE,CDI,CDI,Débutant accepté,D,Cadre,M1851,Analyste décisionnel - Business Intelligence,Autres commerces de détail spécialisés divers,,,,0,,,,,,
3687902,Manager Business Transformation H/F (Paris),2026-06-11 03:01:52+00:00,75,75056,75 - Paris,,,EY,CDI,CDI,3 An(s),E,,M1851,Analyste décisionnel - Business Intelligence,,,,,0,,,,,,
3656509,ALTERNANT BUSINESS ANALYST - H/F,2026-06-10 14:34:57+00:00,75,75113,75 - Paris 13e Arrondissement,48.832653,2.35548,,CDD,CDD - 12 Mois,Débutant accepté,D,Employé qualifié,M1851,Analyste décisionnel - Business Intelligence,Autres assurances,Mensuel de 1300.0 Euros à 1800.0 Euros,,SQL | Data Visualization,2,Mensuel,1300.0,1800.0,15600.0,21600.0,18600.0
3539845,Facility management business partner (h/f),2026-06-06 08:15:38+00:00,75,75056,75 - Paris,,,,CDI,CDI,Expérience exigée,E,,M1851,Analyste décisionnel - Business Intelligence,,,,,0,,,,,,
4208867,Consultante / Consultant Intelligent Industry (H/F),2026-06-25 05:30:51+00:00,92,92040,92 - Issy-les-Moulineaux,48.82453,2.273793,,CDD,CDD - 12 Mois,Débutant accepté,D,Agent de maîtrise,M1872,Consultant décisionnel / Consultante décisionnelle - Business Intelligence,,,,,0,,,,,,
4331402,"Consultant.e Senior Financial Services Agile, Operating Model & Sourcing (H/F)",2026-06-27 18:43:58+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,Débutant accepté,D,,M1872,Consultant décisionnel / Consultante décisionnelle - Business Intelligence,,,,,0,,,,,,
4070063,"Consultant.e Senior Financial Services Agile, Operating Model & Sourcing (H/F)",2026-06-21 03:44:02+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,Débutant accepté,D,,M1872,Consultant décisionnel / Consultante décisionnelle - Business Intelligence,,,,,0,,,,,,
4038197,Consultant DATA Fabric H/F,2026-06-20 04:31:32+00:00,92,92050,92 - Nanterre,48.910508,2.220154,EXPERTIME,CDI,CDI,Débutant accepté,D,Cadre,M1872,Consultant décisionnel / Consultante décisionnelle - Business Intelligence,,Annuel de 48000.0 Euros à 55000.0 Euros,,Python | R | SQL | SQL Server | ETL | Azure | Power BI | Machine Learning | Data Visualization,9,Annuel,48000.0,55000.0,48000.0,55000.0,51500.0
3459865,AI Automation Builder (Tech Ops) F/H - Qualisocial,2026-06-04 21:30:46+00:00,75,75102,75 - Paris 2e Arrondissement,,,Qualisocial,CDI,CDI,1 An(s),E,,M1824,Développeur / Développeuse décisionnel - Business Intelligence,Conseil pour les affaires et autres conseils de gestion,Annuel de 35000.0 Euros à 40000.0 Euros,,Python | JavaScript,2,Annuel,35000.0,40000.0,35000.0,40000.0,37500.0
210LCDC,Chargé de projet data analyst (H/F),2026-06-29 09:58:36.173000+00:00,75,75117,75 - PARIS,48.884682,2.322169,REXEL FRANCE,CDD,CDD - 6 Mois,2 An(s),E,Cadre,M1419,Data analyst,Commerce de gros (commerce interentreprises) de matériel électrique,Annuel de 35000.0 Euros à 42000.0 Euros sur 12 mois,"Adapter les outils de traitement statistique de données | Communiquer les résultats des études aux parties prenantes | Analyser, exploiter, structurer des données | Collaborer avec des équipes pour intégrer des analyses",SQL | Power BI | Tableau | Qlik | Data Visualization,5,Annuel,35000.0,42000.0,35000.0,42000.0,38500.0
210GWWS,Chargé(e) d'Approvisionnement & Data Analyst (H/F),2026-06-24 16:10:49.510000+00:00,93,,93 - Seine-Saint-Denis,,,FEELNFOOD,CDI,CDI,Débutant accepté,D,Employé qualifié,M1419,Data analyst,Services des traiteurs,Annuel de 26000.0 Euros sur 12 mois,"Analyse de données client | Analyse de données opérationnelles | Adapter les outils de traitement statistique de données | Communiquer les résultats des études aux parties prenantes | Analyser des données pour identifier des tendances | Analyser et prévenir les risques | Analyser, exploiter, structurer des données | Animer une démarche agile et innovante | Collaborer avec des équipes pour intégrer des analyses | Collecter et analyser des données, des informations | Concevoir des tableaux de bord pour le suivi des performances | Concevoir un plan d'analyse statistique | Développer des tableaux de bord pour suivre les indicateurs de performance (KPI) | Etablir des prévisions, des évaluations, des recommandations, des perspectives | Interpréter des résultats d'analyses pour des décisions stratégiques | Optimiser des processus d'analyse de données",SQL | Power BI | Looker | Excel,4,Annuel,26000.0,26000.0,26000.0,26000.0,26000.0
